frame,time_sec,student_id,avg_pitch,ratio_head_down,ratio_lean_forward,ratio_writing_like,pitch_delta_mean,pitch_delta_std,label_engaged
10,0.3,1,41.2121212121212,1.0,0.0,0.0,0.0,0.0,
10,0.3,5,0.0,0.0,0.0,0.0,0.0,0.0,
10,0.3,6,29.70872160548847,1.0,0.0,0.0,0.5746664235745346,0.5669677756131823,
10,0.3,9,0.0,0.0,0.0,0.0,0.0,0.0,
10,0.3,4,0.0,0.0,0.0,0.0,0.0,0.0,
10,0.3,10,0.0,0.0,0.0,0.0,0.0,0.0,
10,0.3,2,0.0,0.0,0.0,0.0,0.0,0.0,
10,0.3,12,0.0,0.0,0.0,0.0,0.0,0.0,
10,0.3,7,0.0,0.0,0.0,0.0,0.0,0.0,
20,0.63,1,41.13636363636364,1.0,0.3,0.3,0.0757575757575757,0.2331768982011714,1.0
20,0.63,6,31.383108618552647,1.0,0.3,0.3,0.5398750610176902,0.5348694314951351,0.0
20,0.63,9,0.0,0.0,0.0,0.0,0.0,0.0,
20,0.63,5,0.0,0.0,0.3,0.3,0.0,0.0,1.0
20,0.63,10,0.0,0.0,0.3,0.3,0.0,0.0,0.0
20,0.63,4,0.0,0.0,0.3,0.3,0.0,0.0,
20,0.63,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20,0.63,12,0.0,0.0,0.0,0.0,0.0,0.0,
20,0.63,21,0.0,0.0,0.0,0.0,0.0,0.0,
20,0.63,7,0.0,0.0,0.0,0.0,0.0,0.0,
20,0.63,22,0.0,0.0,0.0,0.0,0.0,0.0,
30,0.97,1,41.16161616161616,1.0,0.5333333333333333,0.5333333333333333,0.0505050505050505,0.1922031300776231,1.0
30,0.97,5,0.0,0.0,0.5333333333333333,0.5333333333333333,0.0,0.0,1.0
30,0.97,9,0.0,0.0,0.0,0.0,0.0,0.0,
30,0.97,6,31.62348057353608,0.9666666666666668,0.5333333333333333,0.5333333333333333,1.8504090498263677,6.7302232363013,0.0
30,0.97,25,29.92424242424242,0.8333333333333334,0.0,0.0833333333333333,5.984848484848484,13.977594679263706,
30,0.97,10,0.0,0.0,0.5,0.5,0.0,0.0,0.0
30,0.97,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
30,0.97,4,0.0,0.0,0.5333333333333333,0.5333333333333333,0.0,0.0,1.0
30,0.97,12,0.0,0.0,0.0,0.0,0.0,0.0,
30,0.97,7,0.0,0.0,0.0,0.0,0.0,0.0,
30,0.97,22,0.0,0.0,0.0,0.0,0.0,0.0,
40,1.3,1,41.174242424242415,1.0,0.65,0.65,0.0378787878787878,0.1672132029266305,1.0
40,1.3,5,0.0,0.0,0.65,0.65,0.0,0.0,1.0
40,1.3,6,23.71761043015205,0.725,0.65,0.65,1.3878067873697757,5.860037065365064,0.0
40,1.3,9,0.0,0.0,0.0,0.0,0.0,0.0,
40,1.3,10,0.0,0.0,0.375,0.375,0.0,0.0,0.0
40,1.3,25,24.48347107438017,0.6818181818181818,0.0,0.2727272727272727,4.896694214876033,12.613071293596024,
40,1.3,31,22.573529411764703,0.0,0.0,0.0,0.3676470588235299,0.6807500733621711,
